enunciado,tema,tipo,nivel,gabarito,fonte
"Qual é a expressão para a força magnética ($\vec{F}_m$) que atua sobre uma partícula de carga $q$ movendo-se com velocidade $\vec{v}$ em uma região com campo magnético $\vec{B}$?","Força Magnética",dissertativa,difícil,"$\vec{F}_m = q(\vec{v} \times \vec{B})$ (Produto Vetorial)","Eletrodinâmica Clássica - Griffiths"
"De acordo com a Lei de Faraday-Neumann, qual a fórmula para a força eletromotriz induzida ($\epsilon$) em um circuito, em função da taxa de variação do fluxo magnético ($\Phi_B$) através dele?","Lei de Faraday-Neumann",dissertativa,médio,"$\epsilon = -\frac{d\Phi_B}{dt}$","Vestibular ITA"
"Qual é a relação de De Broglie, que associa o comprimento de onda ($\lambda$) a uma partícula com quantidade de movimento de módulo $p$? Utilize $h$ para a constante de Planck.","Dualidade onda-partícula",dissertativa,médio,"$\lambda = \frac{h}{p}$","Física Quântica - Eisberg & Resnick"
"Qual é a famosa equação de Einstein que estabelece a equivalência entre massa ($m$) e energia em repouso ($E_0$), onde $c$ é a velocidade da luz no vácuo?","Equivalência entre Massa e Energia",dissertativa,fácil,"$E_0 = mc^2$","Introdução à Relatividade Especial"
"Um carro percorre uma distância de $180 \, \text{km}$ em um intervalo de tempo de $2 \, \text{h}$. Qual é a sua velocidade escalar média em $\text{km/h}$ e em $\text{m/s}$?","Velocidade",dissertativa,muito fácil,"Em km/h: $v_m = \frac{\Delta s}{\Delta t} = \frac{180 \, \text{km}}{2 \, \text{h}} = 90 \, \text{km/h}$. Em m/s: $90 \div 3,6 = 25 \, \text{m/s}$.","Física para o Ensino Médio - Vol. 1"
"A função horária da posição de um móvel é dada por $s(t) = 20 + 4t$, com unidades no Sistema Internacional (SI). Qual é a posição inicial ($s_0$) e a velocidade ($v$) do móvel?","Movimento Uniforme",múltipla escolha,fácil,"Posição inicial $s_0 = 20 \, \text{m}$ e velocidade $v = 4 \, \text{m/s}$.","Material Didático - Sistema Anglo"
"Um atleta parte do repouso e atinge a velocidade de $10 \, \text{m/s}$ em $5 \, \text{s}$. Supondo que seu movimento é uniformemente variado, qual foi sua aceleração escalar média?","Movimento Uniformemente Variado",dissertativa,fácil,"$a = \frac{\Delta v}{\Delta t} = \frac{10 \, \text{m/s} - 0}{5 \, \text{s}} = 2 \, \text{m/s}^2$","Física Essencial - Bonjorno"
"Um objeto é solto em queda livre de uma altura de $80 \, \text{m}$. Desprezando a resistência do ar e usando $g = 10 \, \text{m/s}^2$, qual a velocidade do objeto ao atingir o solo?","Movimento Vertical",dissertativa,médio,"Pela Equação de Torricelli: $v^2 = v_0^2 + 2g\Delta s \Rightarrow v^2 = 0 + 2(10)(80) \Rightarrow v = \sqrt{1600} = 40 \, \text{m/s}$.","Tópicos de Física - Gualter, Newton, Helou"
"Dois vetores deslocamento, $\vec{d}_1$ de módulo $8 \, \text{m}$ e $\vec{d}_2$ de módulo $6 \, \text{m}$, são perpendiculares entre si. Qual é o módulo do vetor deslocamento resultante $\vec{d}_R = \vec{d}_1 + \vec{d}_2$?","Vetores",dissertativa,fácil,"Pelo Teorema de Pitágoras: $|\vec{d}_R|^2 = 8^2 + 6^2 = 64 + 36 = 100 \Rightarrow |\vec{d}_R| = 10 \, \text{m}$.","Física Clássica - Calçada e Sampaio"
"Um carro, partindo do repouso com aceleração constante de $a = 3 \, \text{m/s}^2$, percorre uma pista. Qual a distância percorrida nos primeiros $4$ segundos de movimento?","Movimento Uniformemente Variado",dissertativa,médio,"Usando a função horária da posição: $\Delta s = v_0 t + \frac{at^2}{2} = 0 \cdot 4 + \frac{3 \cdot 4^2}{2} = \frac{3 \cdot 16}{2} = 24 \, \text{m}$.","Simulado ENEM - Plataforma Poliedro"
"Um pneu de bicicleta de raio $R = 0,4 \, \text{m}$ gira com velocidade angular constante $\omega = 5 \, \text{rad/s}$. Qual a velocidade linear de um ponto na borda do pneu?","Movimento Circular",dissertativa,médio,"A relação é $v = \omega \cdot R \Rightarrow v = 5 \, \text{rad/s} \cdot 0,4 \, \text{m} = 2 \, \text{m/s}$.","Vestibular UERJ"
"Uma bola é lançada verticalmente para cima com velocidade inicial de $30 \, \text{m/s}$. Considerando $g=10 \, \text{m/s}^2$, qual a altura máxima atingida pela bola?","Movimento Vertical",dissertativa,médio,"Na altura máxima, $v=0$. Por Torricelli: $0^2 = 30^2 - 2(10)H \Rightarrow 20H = 900 \Rightarrow H = 45 \, \text{m}$.","Vestibular FUVEST"
"Um canhão dispara um projétil com uma velocidade inicial de $v_0 = 100 \, \text{m/s}$ formando um ângulo de $30^\circ$ com a horizontal. Qual o módulo da componente vertical da velocidade inicial ($v_{0y}$)? (Dados: $\sin(30^\circ) = 0,5$)","Movimento Oblíquo",dissertativa,médio,"$v_{0y} = v_0 \cdot \sin(30^\circ) = 100 \cdot 0,5 = 50 \, \text{m/s}$.","Física Conectada - Ensino Médio"
"Um carro de Fórmula 1 faz uma curva de raio $R=100 \, \text{m}$ a uma velocidade constante de $v=50 \, \text{m/s}$. Qual o módulo da sua aceleração centrípeta ($a_{cp}$)?","Movimento Circular",dissertativa,médio,"$a_{cp} = \frac{v^2}{R} = \frac{50^2}{100} = \frac{2500}{100} = 25 \, \text{m/s}^2$.","Caderno de Questões - Objetivo"
